customer_key,customer_name,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,Customer_Segment
141,Javier Alvarez,4766,1,40,5,2,4,At Risk
419,Rafael Hu,4493,1,40,1,2,4,Loyal Customers
515,Dalton Diaz,4669,1,40,4,2,4,At Risk
1029,Sarah Lewis,4575,1,40,2,2,4,Loyal Customers
1417,Veronica Martinez,4664,1,40,4,2,4,At Risk
1428,Kimberly Stewart,4689,1,40,4,2,4,At Risk
1499,Eduardo Diaz,4664,1,40,4,2,4,At Risk
1742,Raymond Sam,4744,1,40,5,2,4,At Risk
1800,George Chandra,4671,1,40,4,2,4,At Risk
1801,Lacey Chen,4612,1,40,3,2,4,Loyal Customers
1803,Alan Sun,4467,1,40,1,2,4,Loyal Customers
1810,Michele Navarro,4717,1,40,4,2,4,At Risk
1832,Kathryn Lal,4525,1,40,2,2,4,Loyal Customers
1833,Douglas Prasad,4762,1,40,5,2,4,At Risk
1836,Karl Yuan,4691,1,40,4,2,4,At Risk
1841,Naomi Sanz,4787,1,40,5,2,4,At Risk
2495,Byron Gutierrez,4706,1,40,4,2,4,At Risk
2498,Deborah Sharma,4789,1,40,5,2,4,At Risk
2501,Molly Vance,4520,1,40,1,2,4,Loyal Customers
2502,Clayton Zhu,4707,1,40,4,2,4,At Risk
2575,Brenda Garcia,4814,1,40,5,2,4,At Risk
2678,Brian Albrecht,4475,1,40,1,2,4,Loyal Customers
2685,Francis Dominguez,4511,1,40,1,2,4,Loyal Customers
2797,Martha Zheng,4539,1,40,2,2,4,Loyal Customers
2819,Dawn Chander,4813,1,40,5,2,4,At Risk
3376,Alexandra Moore,4661,1,40,4,2,4,At Risk
3391,Logan Kumar,4537,1,40,2,2,4,Loyal Customers
3398,Sierra Edwards,4454,1,40,1,2,4,Loyal Customers
3403,Hailey Parker,4479,1,40,1,2,4,Loyal Customers
3468,Aidan Russell,4714,1,40,4,2,4,At Risk
3484,Nicole Henderson,4708,1,40,4,2,4,At Risk
3488,Seth Hall,4684,1,40,4,2,4,At Risk
3490,Jason Wang,4544,1,40,2,2,4,Loyal Customers
3491,Aidan Butler,4506,1,40,1,2,4,Loyal Customers
3504,Brianna Alexander,4706,1,40,4,2,4,At Risk
3507,Stacy Suarez,4527,1,40,2,2,4,Loyal Customers
3508,Eric Wright,4801,1,40,5,2,4,At Risk
3513,Christopher Jones,4807,1,40,5,2,4,At Risk
3545,Darryl West,4713,1,40,4,2,4,At Risk
3564,Fernando Carter,4639,1,40,3,2,4,Loyal Customers
3571,Hannah Henderson,4719,1,40,4,2,4,At Risk
3574,Madison Wood,4575,1,40,2,2,4,Loyal Customers
3589,Alexander Taylor,4581,1,40,2,2,4,Loyal Customers
3596,Andrea Ward,4541,1,40,2,2,4,Loyal Customers
3601,Ariana Ramirez,4591,1,40,3,2,4,Loyal Customers
3609,Warren Gao,4733,1,40,4,2,4,At Risk
3613,Ernest Zhang,4506,1,40,1,2,4,Loyal Customers
3619,Gabrielle Baker,4571,1,40,2,2,4,Loyal Customers
3620,Nathaniel Sanders,4549,1,40,2,2,4,Loyal Customers
3625,Anna Thomas,4543,1,40,2,2,4,Loyal Customers
3638,Dustin Nath,4577,1,40,2,2,4,Loyal Customers
3660,Zachary Harris,4697,1,40,4,2,4,At Risk
3694,Robert Parker,4565,1,40,2,2,4,Loyal Customers
3711,Lisa Ma,4561,1,40,2,2,4,Loyal Customers
3759,Victoria Long,4720,1,40,4,2,4,At Risk
3762,Morgan Kelly,4810,1,40,5,2,4,At Risk
3808,Brenda Martinez,4579,1,40,2,2,4,Loyal Customers
3811,Russell Anand,4689,1,40,4,2,4,At Risk
3827,Stefanie Lopez,4617,1,40,3,2,4,Loyal Customers
3851,Audrey Vazquez,4615,1,40,3,2,4,Loyal Customers
3857,Kari Carlson,4464,1,40,1,2,4,Loyal Customers
3909,Morgan Mitchell,4733,1,40,4,2,4,At Risk
3925,Cynthia Sai,4772,1,40,5,2,4,At Risk
3960,Ross Patel,4591,1,40,3,2,4,Loyal Customers
3964,Sydney Perry,4531,1,40,2,2,4,Loyal Customers
3972,Susan Zhu,4690,1,40,4,2,4,At Risk
4013,Emma Hughes,4490,1,40,1,2,4,Loyal Customers
4092,Jermaine Madan,4718,1,40,4,2,4,At Risk
4159,Victoria Moore,4800,1,40,5,2,4,At Risk
4166,Carl Anand,4655,1,40,3,2,4,Loyal Customers
4169,Xavier Bell,4581,1,40,2,2,4,Loyal Customers
4258,Matthew Anderson,4810,1,40,5,2,4,At Risk
4271,Ariana Cox,4626,1,40,3,2,4,Loyal Customers
4272,Samuel Yang,4598,1,40,3,2,4,Loyal Customers
4282,Hunter Anderson,4765,1,40,5,2,4,At Risk
4286,Olivia Rodriguez,4769,1,40,5,2,4,At Risk
4294,Mason Watson,4467,1,40,1,2,4,Loyal Customers
4298,Nicole Bryant,4656,1,40,3,2,4,Loyal Customers
4308,Jennifer Garcia,4755,1,40,5,2,4,At Risk
4319,Grace Watson,4509,1,40,1,2,4,Loyal Customers
4328,Paula Hernandez,4515,1,40,1,2,4,Loyal Customers
4331,Catherine Richardson,4804,1,40,5,2,4,At Risk
4333,Jason Sharma,4513,1,40,1,2,4,Loyal Customers
4336,Emily Patterson,4532,1,40,2,2,4,Loyal Customers
4359,Danielle Sanders,4503,1,40,1,2,4,Loyal Customers
4362,Thomas Gonzales,4455,1,40,1,2,4,Loyal Customers
4374,Kaitlyn Jones,4497,1,40,1,2,4,Loyal Customers
4391,Jonathan Turner,4596,1,40,3,2,4,Loyal Customers
4393,Sydney Brown,4682,1,40,4,2,4,At Risk
4398,Karl Tang,4795,1,40,5,2,4,At Risk
4402,Rachel Hughes,4552,1,40,2,2,4,Loyal Customers
4404,Jeremiah Ross,4671,1,40,4,2,4,At Risk
4408,Julia Lee,4539,1,40,2,2,4,Loyal Customers
4409,Olivia Thompson,4601,1,40,3,2,4,Loyal Customers
4431,Alfredo Jim?®nez,4810,1,40,5,2,4,At Risk
4470,Fernando Williams,4804,1,40,5,2,4,At Risk
4486,Jordan Wright,4773,1,40,5,2,4,At Risk
4487,Kevin Griffin,4672,1,40,4,2,4,At Risk
4496,Craig Alonso,4481,1,40,1,2,4,Loyal Customers
4497,Kelli Goel,4780,1,40,5,2,4,At Risk
4505,Jared James,4705,1,40,4,2,4,At Risk
4509,Megan Brooks,4640,1,40,3,2,4,Loyal Customers
4510,Zachary Washington,4770,1,40,5,2,4,At Risk
4511,Ernest She,4610,1,40,3,2,4,Loyal Customers
4514,Madeline Perez,4616,1,40,3,2,4,Loyal Customers
4546,Jennifer Rivera,4647,1,40,3,2,4,Loyal Customers
4547,Robert Jenkins,4492,1,40,1,2,4,Loyal Customers
4564,Luke Lopez,4566,1,40,2,2,4,Loyal Customers
4609,Faith James,4604,1,40,3,2,4,Loyal Customers
4630,Meghan Ruiz,4479,1,40,1,2,4,Loyal Customers
4741,Johnny Kumar,4583,1,40,2,2,4,Loyal Customers
4743,Grace Thompson,4797,1,40,5,2,4,At Risk
4744,Chloe Thompson,4516,1,40,1,2,4,Loyal Customers
4748,Evan Nelson,4596,1,40,3,2,4,Loyal Customers
4773,Christopher Anderson,4644,1,40,3,2,4,Loyal Customers
4778,Brianna Smith,4734,1,40,4,2,4,At Risk
4826,Angela Simmons,4465,1,40,1,2,4,Loyal Customers
4838,Julia Johnston,4648,1,40,3,2,4,Loyal Customers
4849,Gabrielle Hernandez,4483,1,40,1,2,4,Loyal Customers
4872,Ryan Jai,4756,1,40,5,2,4,At Risk
4878,Jordan Perez,4484,1,40,1,2,4,Loyal Customers
4885,Dakota Bradley,4717,1,40,4,2,4,At Risk
4888,Deanna Vazquez,4485,1,40,1,2,4,Loyal Customers
4892,Jordan Lopez,4484,1,40,1,2,4,Loyal Customers
4911,Caleb Hughes,4763,1,40,5,2,4,At Risk
4937,Abigail Johnson,4539,1,40,2,2,4,Loyal Customers
4940,Jennifer Brown,4661,1,40,4,2,4,At Risk
4952,Jenna Baker,4733,1,40,4,2,4,At Risk
4956,Neil Ortega,4684,1,40,4,2,4,At Risk
4971,Samuel Thompson,4696,1,40,4,2,4,At Risk
4972,Ryan Jenkins,4674,1,40,4,2,4,At Risk
4974,Christopher Garcia,4507,1,40,1,2,4,Loyal Customers
4978,Julia Harris,4543,1,40,2,2,4,Loyal Customers
5007,Angelica Henderson,4697,1,40,4,2,4,At Risk
5038,Melissa Kelly,4680,1,40,4,2,4,At Risk
5049,Kelli Yang,4738,1,40,4,2,4,At Risk
5050,Ashlee Nara,4658,1,40,4,2,4,At Risk
5058,Michele Gomez,4801,1,40,5,2,4,At Risk
5071,Sierra Phillips,4474,1,40,1,2,4,Loyal Customers
5075,Caleb Roberts,4708,1,40,4,2,4,At Risk
5083,Autumn Zeng,4666,1,40,4,2,4,At Risk
5092,Alyssa Lewis,4667,1,40,4,2,4,At Risk
5108,Jordan Edwards,4710,1,40,4,2,4,At Risk
5154,Eric Jai,4620,1,40,3,2,4,Loyal Customers
5213,Jacqueline Rivera,4494,1,40,1,2,4,Loyal Customers
5240,Gabriel Nelson,4474,1,40,1,2,4,Loyal Customers
5249,Alyssa Ross,4722,1,40,4,2,4,At Risk
5368,Emily Williams,4543,1,40,2,2,4,Loyal Customers
5478,Anna Gonzales,4798,1,40,5,2,4,At Risk
5486,Ian Foster,4559,1,40,2,2,4,Loyal Customers
5499,Hunter Jones,4594,1,40,3,2,4,Loyal Customers
5503,Jackson Parker,4467,1,40,1,2,4,Loyal Customers
5506,Erin Gray,4499,1,40,1,2,4,Loyal Customers
5643,Mason Mitchell,4514,1,40,1,2,4,Loyal Customers
5656,Destiny Taylor,4588,1,40,3,2,4,Loyal Customers
5720,Trevor Russell,4552,1,40,2,2,4,Loyal Customers
5721,Morgan Perry,4662,1,40,4,2,4,At Risk
5725,Gabriel Yang,4538,1,40,2,2,4,Loyal Customers
5788,Nicole Jackson,4515,1,40,1,2,4,Loyal Customers
5789,Ronnie Gao,4739,1,40,5,2,4,At Risk
5815,Isabella Collins,4810,1,40,5,2,4,At Risk
5863,Timothy Nelson,4466,1,40,1,2,4,Loyal Customers
5876,Samantha Diaz,4669,1,40,4,2,4,At Risk
5878,Katelyn Adams,4798,1,40,5,2,4,At Risk
5885,Richard Miller,4748,1,40,5,2,4,At Risk
5886,Garrett Cook,4769,1,40,5,2,4,At Risk
5902,Ricky Munoz,4576,1,40,2,2,4,Loyal Customers
5958,Seth Wilson,4489,1,40,1,2,4,Loyal Customers
5964,Faith Hughes,4752,1,40,5,2,4,At Risk
5966,Kristi Romero,4767,1,40,5,2,4,At Risk
5981,Jill Moore,4743,1,40,5,2,4,At Risk
5992,Brianna Henderson,4764,1,40,5,2,4,At Risk
5995,Deanna Torres,4601,1,40,3,2,4,Loyal Customers
6045,Ana Hayes,4587,1,40,3,2,4,Loyal Customers
6118,Lydia Prasad,4531,1,40,2,2,4,Loyal Customers
6147,Juan Cook,4535,1,40,2,2,4,Loyal Customers
6159,Mitchell Nara,4763,1,40,5,2,4,At Risk
6163,Rachel Blue,4723,1,40,4,2,4,At Risk
6261,Sean King,4765,1,40,5,2,4,At Risk
6343,William Jones,4750,1,40,5,2,4,At Risk
6344,Tristan Price,4704,1,40,4,2,4,At Risk
6360,Mar?¡a Flores,4780,1,40,5,2,4,At Risk
6367,Devin Harris,4770,1,40,5,2,4,At Risk
6379,Zachary Foster,4462,1,40,1,2,4,Loyal Customers
6381,Nathan Adams,4773,1,40,5,2,4,At Risk
6391,Blake Lewis,4716,1,40,4,2,4,At Risk
6398,Alexandra Cook,4697,1,40,4,2,4,At Risk
6419,Victoria Ramirez,4721,1,40,4,2,4,At Risk
6420,Brianna Reed,4778,1,40,5,2,4,At Risk
6429,Xavier Perez,4693,1,40,4,2,4,At Risk
6452,Isabelle Wood,4546,1,40,2,2,4,Loyal Customers
6472,Grace James,4628,1,40,3,2,4,Loyal Customers
6517,Thomas Foster,4485,1,40,1,2,4,Loyal Customers
6518,Daniel Williams,4517,1,40,1,2,4,Loyal Customers
6550,Jonathan Taylor,4474,1,40,1,2,4,Loyal Customers
6555,Emma Harris,4798,1,40,5,2,4,At Risk
6561,Kaylee Richardson,4617,1,40,3,2,4,Loyal Customers
6578,Justin Lee,4648,1,40,3,2,4,Loyal Customers
6584,Stephanie Cook,4799,1,40,5,2,4,At Risk
6585,Lisa Liu,4453,1,40,1,2,4,Loyal Customers
6599,Cameron Harris,4627,1,40,3,2,4,Loyal Customers
6606,Jon Ma,4736,1,40,4,2,4,At Risk
6611,Anna White,4683,1,40,4,2,4,At Risk
6612,Luis Butler,4706,1,40,4,2,4,At Risk
6619,Ramon Liu,4615,1,40,3,2,4,Loyal Customers
6654,Linda Vazquez,4714,1,40,4,2,4,At Risk
6666,Zachary Jenkins,4537,1,40,2,2,4,Loyal Customers
6675,Kevin Wang,4583,1,40,2,2,4,Loyal Customers
6680,Joe Mehta,4552,1,40,2,2,4,Loyal Customers
6688,Miguel Turner,4505,1,40,1,2,4,Loyal Customers
6697,Madison Simmons,4654,1,40,3,2,4,Loyal Customers
6824,Ramon Gao,4630,1,40,3,2,4,Loyal Customers
6873,Robert Miller,4550,1,40,2,2,4,Loyal Customers
