customer_key,customer_name,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,Customer_Segment,Cluster,Segment_KMeans,PCA1,PCA2
141,Javier Alvarez,4766,1,40,5,2,4,At Risk,0,Others,-0.9567373702812862,0.5847034518650533
419,Rafael Hu,4493,1,40,1,2,4,Loyal Customers,0,Others,-0.6498959142319266,-1.136030961038736
515,Dalton Diaz,4669,1,40,4,2,4,At Risk,0,Others,-0.8477131166666786,-0.026693024514681266
1029,Sarah Lewis,4575,1,40,2,2,4,Loyal Customers,0,Others,-0.7420607471844816,-0.6191803315218468
1417,Veronica Martinez,4664,1,40,4,2,4,At Risk,0,Others,-0.8420933097793277,-0.05820830680229648
1428,Kimberly Stewart,4689,1,40,4,2,4,At Risk,0,Others,-0.8701923442160823,0.09936810463577948
1499,Eduardo Diaz,4664,1,40,4,2,4,At Risk,0,Others,-0.8420933097793277,-0.05820830680229648
1742,Raymond Sam,4744,1,40,5,2,4,At Risk,0,Others,-0.9320102199769422,0.44603620979954667
1800,George Chandra,4671,1,40,4,2,4,At Risk,0,Others,-0.8499610394216189,-0.014086911599635167
1801,Lacey Chen,4612,1,40,3,2,4,Loyal Customers,0,Others,-0.7836473181508783,-0.38596724259349446
1803,Alan Sun,4467,1,40,1,2,4,Loyal Customers,0,Others,-0.6206729184177019,-1.2999104289343348
1810,Michele Navarro,4717,1,40,4,2,4,At Risk,0,Others,-0.9016632627852473,0.2758536854464246
1832,Kathryn Lal,4525,1,40,2,2,4,Loyal Customers,0,Others,-0.6858626783109724,-0.9343331543979988
1833,Douglas Prasad,4762,1,40,5,2,4,At Risk,0,Others,-0.9522415247714056,0.5594912260349614
1836,Karl Yuan,4691,1,40,4,2,4,At Risk,0,Others,-0.8724402669710226,0.11197421755082552
1841,Naomi Sanz,4787,1,40,5,2,4,At Risk,0,Others,-0.9803405592081601,0.7170676374730373
2495,Byron Gutierrez,4706,1,40,4,2,4,At Risk,0,Others,-0.8892996876330753,0.20652006441367113
2498,Deborah Sharma,4789,1,40,5,2,4,At Risk,0,Others,-0.9825884819631004,0.7296737503880834
2501,Molly Vance,4520,1,40,1,2,4,Loyal Customers,0,Others,-0.6802428714236215,-0.9658484366856139
2502,Clayton Zhu,4707,1,40,4,2,4,At Risk,0,Others,-0.8904236490105455,0.21282312087119418
2575,Brenda Garcia,4814,1,40,5,2,4,At Risk,0,Others,-1.010687516399855,0.8872501618261593
2678,Brian Albrecht,4475,1,40,1,2,4,Loyal Customers,0,Others,-0.6296646094374633,-1.2494859772741505
2685,Francis Dominguez,4511,1,40,1,2,4,Loyal Customers,0,Others,-0.6701272190263898,-1.0225759448033214
2797,Martha Zheng,4539,1,40,2,2,4,Loyal Customers,0,Others,-0.701598137595555,-0.8460903639926762
2819,Dawn Chander,4813,1,40,5,2,4,At Risk,0,Others,-1.0095635550223847,0.8809471053686363
3376,Alexandra Moore,4661,1,40,4,2,4,At Risk,0,Others,-0.8387214256469171,-0.0771174761748656
3391,Logan Kumar,4537,1,40,2,2,4,Loyal Customers,0,Others,-0.6993502148406147,-0.8586964769077222
3398,Sierra Edwards,4454,1,40,1,2,4,Loyal Customers,0,Others,-0.6060614205105895,-1.3818501628821342
3403,Hailey Parker,4479,1,40,1,2,4,Loyal Customers,0,Others,-0.6341604549473441,-1.2242737514440583
3468,Aidan Russell,4714,1,40,4,2,4,At Risk,0,Others,-0.8982913786528368,0.25694451607385543
3484,Nicole Henderson,4708,1,40,4,2,4,At Risk,0,Others,-0.8915476103880157,0.21912617732871723
3488,Seth Hall,4684,1,40,4,2,4,At Risk,0,Others,-0.8645725373287313,0.0678528223481643
3490,Jason Wang,4544,1,40,2,2,4,Loyal Customers,0,Others,-0.7072179444829059,-0.814575081705061
3491,Aidan Butler,4506,1,40,1,2,4,Loyal Customers,0,Others,-0.664507412139039,-1.0540912270909364
3504,Brianna Alexander,4706,1,40,4,2,4,At Risk,0,Others,-0.8892996876330753,0.20652006441367113
3507,Stacy Suarez,4527,1,40,2,2,4,Loyal Customers,0,Others,-0.6881106010659128,-0.9217270414829527
3508,Eric Wright,4801,1,40,5,2,4,At Risk,0,Others,-0.9960760184927426,0.8053104278783597
3513,Christopher Jones,4807,1,40,5,2,4,At Risk,0,Others,-1.0028197867575637,0.843128766623498
3545,Darryl West,4713,1,40,4,2,4,At Risk,0,Others,-0.8971674172753666,0.2506414596163324
3564,Fernando Carter,4639,1,40,3,2,4,Loyal Customers,0,Others,-0.8139942753425732,-0.2157847182403724
3571,Hannah Henderson,4719,1,40,4,2,4,At Risk,0,Others,-0.9039111855401877,0.2884597983614707
3574,Madison Wood,4575,1,40,2,2,4,Loyal Customers,0,Others,-0.7420607471844816,-0.6191803315218468
